go_stop_number	go_stop_name	go_stop_id	go_latitude	go_longitude	come_stop_number	come_stop_name	come_stop_id	come_latitude	come_longitude		
0東	0100000A00										
27	建國中學(歷史博物館)	1006600560	25.031565	121.512879	27	建國中學(歷史博物館)	1006600560	25.031565	121.512879		
28	植物園	1007000260	25.03088	121.508711	28	植物園	1007000260	25.03088	121.508711		
28	世貿中心(莊敬)	1104900140	25.031446	121.56127	28	世貿中心(莊敬)	1104900140	25.031446	121.56127		
29	和平中華路口	1006600360	25.033191	121.50578	29	和平中華路口	1006600360	25.033191	121.50578		
29	景新里	1104900440	25.02923	121.5624103	29	景新里	1104900440	25.02923	121.5624103		
3	信義國中(莊敬)	1105000200	25.027607	121.56521	3	信義國中(莊敬)	1105000200	25.027607	121.56521		
3	大理高中	1088300000	25.031919	121.491328	3	大理高中	1088300000	25.031919	121.491328		
30	昆明街口	1085100060	25.035341	121.5020082	30	昆明街口	1085100060	25.035341	121.5020082		
30	臺北醫學大學	1105000340	25.028273	121.5632643	30	臺北醫學大學	1105000340	25.028273	121.5632643		
31	捷運龍山寺站	1085200360	25.03538	121.49971	31	捷運龍山寺站	1085200360	25.03538	121.49971		
31	信義國中(莊敬)	1105000240	25.027402	121.565724	31	信義國中(莊敬)	1105000240	25.027402	121.565724		
32	吳興國小(莊敬)	1105000020	25.026725	121.568122	32	吳興國小(莊敬)	1105000020	25.026725	121.568122		
32	中國時報	1085500160	25.035454	121.4969752	32	中國時報	1085500160	25.035454	121.4969752		
33	華江派出所	1088300140	25.034006	121.493016	33	華江派出所	1088300140	25.034006	121.493016		
33	松仁路	1104600240	25.024432	121.569585	33	松仁路	1104600240	25.024432	121.569585		
34	大理高中	1085800140	25.03162	121.490827	34	大理高中	1085800140	25.03162	121.490827		
35	人壽一村	1085800060	25.032073	121.4895177	35	人壽一村	1085800060	25.032073	121.4895177		
36	華江站	1085800360	25.032333	121.4889822	36	華江站	1085800360	25.032333	121.4889822		
4	臺北醫學大學	1105000300	25.028241	121.5634888	4	臺北醫學大學	1105000300	25.028241	121.5634888		
4	華江派出所	1088300100	25.034114	121.4933405	4	華江派出所	1088300100	25.034114	121.4933405		
5	中國時報	1085500120	25.035221	121.496276	5	中國時報	1085500120	25.035221	121.496276		
5	景新里	1104900400	25.029526	121.5623852	5	景新里	1104900400	25.029526	121.5623852		
6	捷運龍山寺站	1085500320	25.035143	121.500164	6	捷運龍山寺站	1085500320	25.035143	121.500164		
6	世貿中心(莊敬)	1104900100	25.031399	121.561326	6	世貿中心(莊敬)	1104900100	25.031399	121.561326		
7	昆明街口	1085100020	25.0351	121.5024902	7	昆明街口	1085100020	25.0351	121.5024902		
7	吳興街口	1105200040	25.031594	121.5586001	7	吳興街口	1105200040	25.031594	121.5586001		
8	三興國小(臨江街觀光夜市)	1067700140	25.028215	121.556522	8	三興國小(臨江街觀光夜市)	1067700140	25.028215	121.556522		
8	和平中華路口	1006800120	25.032422	121.5062725	8	和平中華路口	1006800120	25.032422	121.5062725		
9	植物園	1007000220	25.030056	121.509834	9	植物園	1007000220	25.030056	121.509834		
9	喬治商職	1067500340	25.02633	121.5546403	9	喬治商職	1067500340	25.02633	121.5546403		
											
2	100000200										
1	富洲里	1117401420	25.109126	121.468652	1	富洲里	1117401420	25.109126	121.468652		
1	捷運台大醫院站	1004801100	25.041927	121.5163535	1	捷運台大醫院站	1004801100	25.041927	121.5163535		
10	福安國中	1117401940	25.103238	121.4872193	10	福安國中	1117401940	25.103238	121.4872193		
10	昌吉重慶路口	1036300200	25.065794	121.5137575	10	昌吉重慶路口	1036300200	25.065794	121.5137575		
11	民族重慶路口	1036900020	25.068586	121.5143308	11	民族重慶路口	1036900020	25.068586	121.5143308		
11	臨江園	1117402040	25.1017	121.48915	11	臨江園	1117402040	25.1017	121.48915		
12	蘭州國中	1036400420	25.068512	121.5161869	12	蘭州國中	1036400420	25.068512	121.5161869		
12	地藏禪寺	1117400540	25.09956	121.49168	12	地藏禪寺	1117400540	25.09956	121.49168		
13	下竹圍	1117200040	25.09816	121.49333	13	下竹圍	1117200040	25.09816	121.49333		
13	民族承德路口	1036500001	25.069322	121.518574	13	民族承德路口	1036500001	25.069322	121.518574		
14	福安區民活動中心	1117201040	25.09707	121.49461	14	福安區民活動中心	1117201040	25.09707	121.49461		
14	庫倫街	1036700360	25.072013	121.5176838	14	庫倫街	1036700360	25.072013	121.5176838		
15	大龍峒保安宮	1036700060	25.07209	121.515621	15	大龍峒保安宮	1036700060	25.07209	121.515621		
15	福安里	1117200940	25.09612	121.49561	15	福安里	1117200940	25.09612	121.49561		
16	普濟堂	1117200840	25.094151	121.4974417	16	普濟堂	1117200840	25.094151	121.4974417		
16	酒泉重慶路口	1037300160	25.072042	121.514591	16	酒泉重慶路口	1037300160	25.072042	121.514591		
17	社子國小二	1117200540	25.090017	121.5020824	17	社子國小二	1117200540	25.090017	121.5020824		
17	酒泉街	1037300260	25.072185	121.5135209	17	酒泉街	1037300260	25.072185	121.5135209		
18	老師里	1037300060	25.072183	121.511508	18	老師里	1037300060	25.072183	121.511508		
18	社子國小	1117200440	25.089646	121.5028759	18	社子國小	1117200440	25.089646	121.5028759		
19	永倫里(南)	1117200720	25.089298	121.504244	19	永倫里(南)	1117200720	25.089298	121.504244		
19	污水處理廠	1037200000	25.075572	121.5118974	19	污水處理廠	1037200000	25.075572	121.5118974		
2	台北海大	1117400440	25.108188	121.4708548	2	台北海大	1117400440	25.108188	121.4708548		
